KP,DP
1.2111062259674074e-09,1.105739528656006e-12
7.241052985191346e-11,7.59726665019989e-14
3.2966539144516e-11,3.1276332259178166e-14
3.1968774557113655e-11,3.036829614639283e-14
3.379893803596497e-11,3.210507261753083e-14
3.256754660606385e-11,3.1293373942375184e-14
3.142348790168763e-11,3.060931086540222e-14
3.0148076057434085e-11,2.9970389366149906e-14
2.8197936296463016e-11,2.9026605844497683e-14
2.6854050874710086e-11,2.8354804754257203e-14
2.6034728288650515e-11,2.8155768752098086e-14
2.3439671754837037e-11,2.703847634792328e-14
2.2858389854431153e-11,2.6666025876998902e-14
2.174832010269165e-11,2.583491337299347e-14
