KP,DP,time,completion,yes
1e-12,1e-15,4.7039057,2024-07-24 02:35:57,1
1e-12,1.2e-14,4.5790299,2024-07-24 02:36:01,1
1e-12,2.3e-14,4.3725818,2024-07-24 02:36:06,1
1e-12,3.4e-14,4.2632927,2024-07-24 02:36:10,1
1e-12,4.5e-14,4.3130548,2024-07-24 02:36:14,1
1e-12,5.6e-14,4.3149834,2024-07-24 02:36:19,1
1e-12,6.7e-14,4.2253713,2024-07-24 02:36:23,1
1e-12,7.8e-14,4.2988712,2024-07-24 02:36:27,1
1e-12,8.9e-14,4.5423967,2024-07-24 02:36:32,1
1e-12,1e-13,4.4430115,2024-07-24 02:36:36,1
1.2e-11,1e-15,4.1662666,2024-07-24 02:36:40,1
1.2e-11,1.2e-14,4.810336,2024-07-24 02:36:45,1
1.2e-11,2.3e-14,4.3595414,2024-07-24 02:36:50,1
1.2e-11,3.4e-14,4.3109159,2024-07-24 02:36:54,1
1.2e-11,4.5e-14,4.1204384,2024-07-24 02:36:58,1
1.2e-11,5.6e-14,4.3779727,2024-07-24 02:37:02,1
1.2e-11,6.7e-14,4.5831626,2024-07-24 02:37:07,1
1.2e-11,7.8e-14,4.9553886,2024-07-24 02:37:12,1
1.2e-11,8.9e-14,4.5196711,2024-07-24 02:37:16,1
1.2e-11,1e-13,5.1412771,2024-07-24 02:37:22,1
2.3e-11,1e-15,4.2451875,2024-07-24 02:37:26,1
2.3e-11,1.2e-14,4.9428691,2024-07-24 02:37:31,1
2.3e-11,2.3e-14,4.09274,2024-07-24 02:37:35,1
2.3e-11,3.4e-14,4.8670078,2024-07-24 02:37:40,1
2.3e-11,4.5e-14,4.3896518,2024-07-24 02:37:44,1
2.3e-11,5.6e-14,4.3696403,2024-07-24 02:37:48,1
2.3e-11,6.7e-14,4.3128999,2024-07-24 02:37:53,1
2.3e-11,7.8e-14,4.3484964,2024-07-24 02:37:57,1
2.3e-11,8.9e-14,4.4126724,2024-07-24 02:38:02,1
2.3e-11,1e-13,4.5570471,2024-07-24 02:38:06,1
3.4e-11,1e-15,4.8523302,2024-07-24 02:38:11,1
3.4e-11,1.2e-14,5.6018868,2024-07-24 02:38:17,1
3.4e-11,2.3e-14,4.5430918,2024-07-24 02:38:21,1
3.4e-11,3.4e-14,4.5777108,2024-07-24 02:38:26,1
3.4e-11,4.5e-14,4.3088805,2024-07-24 02:38:30,1
3.4e-11,5.6e-14,4.5751653,2024-07-24 02:38:35,1
3.4e-11,6.7e-14,4.6887994,2024-07-24 02:38:39,1
3.4e-11,7.8e-14,4.5226577,2024-07-24 02:38:44,1
3.4e-11,8.9e-14,4.7139387,2024-07-24 02:38:49,1
