KN,DN,KP,DP,time,completion,yes
1e-12,1e-15,1e-12,1e-15,0.0010904,2024-07-24 03:06:04,1
1e-12,1e-15,1e-12,3.4e-14,0.0010331,2024-07-24 03:06:04,1
1e-12,1e-15,1e-12,6.7e-14,0.0006977,2024-07-24 03:06:04,1
1e-12,1e-15,1e-12,1e-13,0.0006151,2024-07-24 03:06:04,1
1e-12,1e-15,3.4e-11,1e-15,0.001704,2024-07-24 03:06:04,1
1e-12,1e-15,3.4e-11,3.4e-14,0.0005445,2024-07-24 03:06:04,1
1e-12,1e-15,3.4e-11,6.7e-14,0.0004165,2024-07-24 03:06:04,1
1e-12,1e-15,3.4e-11,1e-13,0.0003812,2024-07-24 03:06:04,1
1e-12,1e-15,6.7e-11,1e-15,0.0003658,2024-07-24 03:06:04,1
1e-12,1e-15,6.7e-11,3.4e-14,0.0003484,2024-07-24 03:06:04,1
1e-12,1e-15,6.7e-11,6.7e-14,0.0003489,2024-07-24 03:06:04,1
1e-12,1e-15,6.7e-11,1e-13,0.0003484,2024-07-24 03:06:04,1
1e-12,1e-15,1e-10,1e-15,0.0003502,2024-07-24 03:06:04,1
1e-12,1e-15,1e-10,3.4e-14,0.0003412,2024-07-24 03:06:04,1
1e-12,1e-15,1e-10,6.7e-14,0.0005484,2024-07-24 03:06:04,1
1e-12,1e-15,1e-10,1e-13,0.0004079,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-12,1e-15,0.0005091,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-12,3.4e-14,0.0003757,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-12,6.7e-14,0.0003611,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-12,1e-13,0.0003534,2024-07-24 03:06:04,1
1e-12,3.4e-14,3.4e-11,1e-15,0.0004101,2024-07-24 03:06:04,1
1e-12,3.4e-14,3.4e-11,3.4e-14,0.0003942,2024-07-24 03:06:04,1
1e-12,3.4e-14,3.4e-11,6.7e-14,0.0003903,2024-07-24 03:06:04,1
1e-12,3.4e-14,3.4e-11,1e-13,0.0003709,2024-07-24 03:06:04,1
1e-12,3.4e-14,6.7e-11,1e-15,0.0003515,2024-07-24 03:06:04,1
1e-12,3.4e-14,6.7e-11,3.4e-14,0.000987,2024-07-24 03:06:04,1
1e-12,3.4e-14,6.7e-11,6.7e-14,0.0004306,2024-07-24 03:06:04,1
1e-12,3.4e-14,6.7e-11,1e-13,0.0004332,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-10,1e-15,0.0004808,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-10,3.4e-14,0.0003747,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-10,6.7e-14,0.0003653,2024-07-24 03:06:04,1
1e-12,3.4e-14,1e-10,1e-13,0.0003571,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-12,1e-15,0.0003745,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-12,3.4e-14,0.0003561,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-12,6.7e-14,0.0003912,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-12,1e-13,0.0003823,2024-07-24 03:06:04,1
1e-12,6.7e-14,3.4e-11,1e-15,0.0005911,2024-07-24 03:06:04,1
1e-12,6.7e-14,3.4e-11,3.4e-14,0.0004765,2024-07-24 03:06:04,1
1e-12,6.7e-14,3.4e-11,6.7e-14,0.0003921,2024-07-24 03:06:04,1
1e-12,6.7e-14,3.4e-11,1e-13,0.0003707,2024-07-24 03:06:04,1
1e-12,6.7e-14,6.7e-11,1e-15,0.0003672,2024-07-24 03:06:04,1
1e-12,6.7e-14,6.7e-11,3.4e-14,0.0003626,2024-07-24 03:06:04,1
1e-12,6.7e-14,6.7e-11,6.7e-14,0.0003571,2024-07-24 03:06:04,1
1e-12,6.7e-14,6.7e-11,1e-13,0.0003473,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-10,1e-15,0.0003463,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-10,3.4e-14,0.0005226,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-10,6.7e-14,0.0003916,2024-07-24 03:06:04,1
1e-12,6.7e-14,1e-10,1e-13,0.0003551,2024-07-24 03:06:04,1
1e-12,1e-13,1e-12,1e-15,0.0003975,2024-07-24 03:06:04,1
1e-12,1e-13,1e-12,3.4e-14,0.0003569,2024-07-24 03:06:04,1
1e-12,1e-13,1e-12,6.7e-14,0.0003408,2024-07-24 03:06:04,1
1e-12,1e-13,1e-12,1e-13,0.0003444,2024-07-24 03:06:04,1
1e-12,1e-13,3.4e-11,1e-15,0.0003504,2024-07-24 03:06:04,1
1e-12,1e-13,3.4e-11,3.4e-14,0.0003412,2024-07-24 03:06:04,1
1e-12,1e-13,3.4e-11,6.7e-14,0.0003384,2024-07-24 03:06:04,1
1e-12,1e-13,3.4e-11,1e-13,0.0003516,2024-07-24 03:06:04,1
1e-12,1e-13,6.7e-11,1e-15,0.0003522,2024-07-24 03:06:04,1
1e-12,1e-13,6.7e-11,3.4e-14,0.0003465,2024-07-24 03:06:04,1
1e-12,1e-13,6.7e-11,6.7e-14,0.000345,2024-07-24 03:06:04,1
1e-12,1e-13,6.7e-11,1e-13,0.0003893,2024-07-24 03:06:04,1
1e-12,1e-13,1e-10,1e-15,0.0006764,2024-07-24 03:06:04,1
1e-12,1e-13,1e-10,3.4e-14,0.0004137,2024-07-24 03:06:04,1
1e-12,1e-13,1e-10,6.7e-14,0.0003616,2024-07-24 03:06:04,1
1e-12,1e-13,1e-10,1e-13,0.0003582,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-12,1e-15,0.000391,2024-07-24 03:06:04,1
