KP,DP
2.06391059756279e-09,2.1750072658061984e-15
2.939595246315003e-09,3.030040675401688e-15
3.1558818221092228e-09,3.2347556650638584e-15
3.312509229779244e-09,3.384448087215424e-15
3.6253031879663473e-09,3.687252479791642e-15
3.706730923056603e-09,3.764027976989746e-15
3.7242290377616885e-09,3.781439054012299e-15
3.7399695813655855e-09,3.7987887620925906e-15
3.5435579866170886e-09,3.6087545216083526e-15
3.440654662251473e-09,3.5136533141136174e-15
3.3168903231620793e-09,3.398482102155686e-15
3.3433645308017734e-09,3.430641788244248e-15
3.149315935373307e-09,3.2435402750968936e-15
3.1766115427017217e-09,3.2769444525241856e-15
3.0081307828426366e-09,3.1155848503112797e-15
2.8379812598228456e-09,2.959901285171509e-15
2.5402592778205873e-09,2.6793803095817567e-15
2.3963414371013646e-09,2.5463082492351533e-15
2.015165364742279e-09,2.181130588054657e-15
1.8430903911590579e-09,2.0270001292228702e-15
1.6223728597164156e-09,1.817330777645111e-15
1.3864163577556613e-09,1.5969183206558229e-15
1.3442358314991e-09,1.559952974319458e-15
1.411608308553696e-09,1.6245455563068392e-15
1.5459047973155978e-09,1.752105623483658e-15
1.61790708899498e-09,1.819164764881134e-15
1.687299430370331e-09,1.88508740067482e-15
1.7738786160945895e-09,1.966680359840393e-15
1.824401777982712e-09,2.0135455787181856e-15
1.809122681617737e-09,1.9990689992904663e-15
1.7833388745784762e-09,1.9741715013980868e-15
1.6737681686878207e-09,1.8705647945404054e-15
1.5677946269512178e-09,1.7703074157238008e-15
1.0635797262191774e-09,1.296601140499115e-15
1.710130447149277e-09,1.9001729488372803e-15
9.96964329481125e-10,1.2349052906036378e-15
3.3301197290420534e-10,6.109111964702607e-16
1.4454568207263948e-09,1.6330876410007479e-15
-1.1910933792591095e-09,-8.169741451740264e-16
-8.099940180778505e-10,-4.638501703739167e-16
-2.0018107414245607e-09,-1.5705328285694124e-15
-2.1999073266983032e-09,-1.7600283205509186e-15
-2.6442019462585453e-09,-2.17397717833519e-15
