% Model,NMCtrain.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 16 2024, 22:40"
% Dimension,1
% Nodes,728
% Expressions,1
% Description,全局
% 时间 (s),边界电位
0,4.048781455093638
10,4.034061971754991
20,4.028383454856468
30,4.024266984360404
40,4.02090864226052
50,4.0182018438920934
60,4.015844836724381
70,4.013850421797214
80,4.012525677449805
90,4.011200933102397
100,4.0100355900569395
110,4.009175640793779
120,4.008315691530619
130,4.007621643712432
140,4.007058511454513
150,4.006495379196595
160,4.006003235855411
170,4.005531711586643
180,4.005060187317874
190,4.004647329731935
200,4.004235010553183
210,4.003842551928266
220,4.003526227749537
230,4.003209903570809
240,4.002895982558903
250,4.002585341277778
260,4.002274699996653
270,4.001952786685296
280,4.001624501497705
290,4.001296216310116
300,4.000967931122525
310,4.000639645934935
320,4.000307709260567
330,3.9999278737634305
340,3.999548038266294
350,3.999168202769159
360,3.9987883672720224
370,3.9984085317748863
380,3.998003094156434
390,3.997572340010949
400,3.997141585865464
410,3.996710831719979
420,3.996280077574494
430,3.9958493234290087
440,3.9953446788974634
450,3.99483487861101
460,3.994325078324557
470,3.9938152780381047
480,3.9933054777516515
490,3.9927698237166385
500,3.9921895285233004
510,3.991609233329963
520,3.991028938136625
530,3.9904486429432877
540,3.9898683477499497
550,3.989209345037172
560,3.988530507442888
570,3.9878516698486046
580,3.9871728322543207
590,3.9864939946600373
600,3.985790283216637
610,3.9850036211043234
620,3.984216958992009
630,3.9834302968796944
640,3.9826436347673804
650,3.9818569726550668
660,3.9809746242790256
670,3.980043564770619
680,3.9791125052622136
690,3.978181445753808
700,3.977250386245402
710,3.976307156870462
720,3.9752474928433945
730,3.974187828816327
740,3.9731281647892582
750,3.97206850076219
760,3.9710088367351224
770,3.969928630879911
780,3.9688299585268996
790,3.967731286173888
800,3.9666326138208765
810,3.965533941467865
820,3.964435269114854
830,3.9631360408109386
840,3.961828144805865
850,3.960520248800791
860,3.9592123527957166
870,3.9579044567906423
880,3.956596560785568
890,3.9552886647804937
900,3.9539807687754203
910,3.952672872770346
920,3.9513649767652717
930,3.9500570807601973
940,3.948451780975007
950,3.9467823059784073
960,3.945112830981808
970,3.9434433559852087
980,3.941773880988609
990,3.9401044059920087
1000,3.938434930995409
1010,3.9367654559988097
1020,3.9350959810022106
1030,3.933426506005611
1040,3.9317570310090115
1050,3.9301155849228198
1060,3.928486941260141
1070,3.9268582975974624
1080,3.9252296539347835
1090,3.923601010272105
1100,3.9219723666094266
1110,3.9203437229467477
1120,3.9187150792840684
1130,3.91708643562139
1140,3.915457791958711
1150,3.9138291482960326
1160,3.9123234536416707
1170,3.910918192054851
1180,3.909512930468031
1190,3.9081076688812106
1200,3.906702407294391
1210,3.9052971457075714
1220,3.9038918841207515
1230,3.9024866225339316
1240,3.9010813609471113
1250,3.8996760993602924
1260,3.898270837773472
1270,3.8969052591464495
1280,3.8955957715250893
1290,3.894286283903729
1300,3.892976796282369
1310,3.8916673086610087
1320,3.8903578210396486
1330,3.8890483334182875
1340,3.8877388457969273
1350,3.886429358175567
1360,3.885119870554207
1370,3.883904538463278
1380,3.8828353124974915
1390,3.8817660865317047
1400,3.880696860565918
1410,3.879627634600131
1420,3.8785584086343436
1430,3.8774891826685565
1440,3.8764199567027697
1450,3.875350730736983
1460,3.8742815047711963
1470,3.873303438181739
1480,3.87248096558397
1490,3.8716584929862012
1500,3.870836020388433
1510,3.8700135477906645
1520,3.8691910751928953
1530,3.868368602595127
1540,3.867546129997358
1550,3.86672365739959
1560,3.8659011848018205
1570,3.865113282147324
1580,3.864390439653362
1590,3.8636675971593992
1600,3.8629447546654365
1610,3.862221912171474
1620,3.8614990696775116
1630,3.8607762271835493
1640,3.8600533846895866
1650,3.859330542195624
1660,3.858607699701661
1670,3.8578463716186864
1680,3.857004940661543
1690,3.856163509704399
1700,3.855322078747256
1710,3.854480647790113
1720,3.853639216832969
1730,3.852797785875826
1740,3.8519563549186824
1750,3.8511149239615388
1760,3.8502734930043956
1770,3.849324515407713
1780,3.848127062123209
1790,3.846929608838705
1800,3.8457321555542006
1810,3.844534702269696
1820,3.843337248985192
1830,3.8421397957006875
1840,3.840942342416183
1850,3.8397448891316786
1860,3.8385474358471745
1870,3.837357229131721
1880,3.8361856910588714
1890,3.8350141529860218
1900,3.8338426149131717
1910,3.832671076840322
1920,3.831499538767472
1930,3.8303280006946223
1940,3.8291564626217722
1950,3.8279849245489226
1960,3.8268548387336923
1970,3.8258430894681394
1980,3.8248313402025866
1990,3.8238195909370343
2000,3.822807841671482
2010,3.821796092405929
2020,3.8207843431403763
2030,3.8197725938748235
2040,3.818760844609271
2050,3.8177560025509596
2060,3.8167731281233843
2070,3.815790253695809
2080,3.814807379268233
2090,3.8138245048406576
2100,3.812841630413082
2110,3.811858755985506
2120,3.8108758815579304
