KP,DP,time,completion,yes
1e-10,1e-16,9.7901933,2024-07-15 14:26:56,1
1e-10,1.2e-15,6.9390484,2024-07-15 14:27:03,1
1e-10,2.3e-15,6.9485246,2024-07-15 14:27:10,1
1e-10,3.4e-15,6.8848379,2024-07-15 14:27:17,1
1e-10,4.5e-15,6.9877694,2024-07-15 14:27:24,1
1e-10,5.6e-15,6.8453889,2024-07-15 14:27:31,1
1e-10,6.7e-15,6.8297245,2024-07-15 14:27:37,1
1e-10,7.8e-15,6.9021918,2024-07-15 14:27:44,1
1e-10,8.9e-15,6.823696,2024-07-15 14:27:51,1
1e-10,1e-14,6.7751761,2024-07-15 14:27:58,1
1.2e-09,1e-16,7.3500063,2024-07-15 14:28:05,1
1.2e-09,1.2e-15,7.2856378,2024-07-15 14:28:13,1
1.2e-09,2.3e-15,7.2121867,2024-07-15 14:28:20,1
1.2e-09,3.4e-15,6.6585328,2024-07-15 14:28:26,1
1.2e-09,4.5e-15,6.453291,2024-07-15 14:28:33,1
1.2e-09,5.6e-15,6.4571659,2024-07-15 14:28:39,1
1.2e-09,6.7e-15,6.5803824,2024-07-15 14:28:46,1
1.2e-09,7.8e-15,6.3945009,2024-07-15 14:28:52,1
1.2e-09,8.9e-15,6.5153331,2024-07-15 14:28:59,1
1.2e-09,1e-14,6.5036859,2024-07-15 14:29:05,1
2.3e-09,1e-16,6.737435,2024-07-15 14:29:12,1
2.3e-09,1.2e-15,6.4497601,2024-07-15 14:29:19,1
2.3e-09,2.3e-15,6.4828313,2024-07-15 14:29:25,1
2.3e-09,3.4e-15,6.4414019,2024-07-15 14:29:31,1
2.3e-09,4.5e-15,6.5558328,2024-07-15 14:29:38,1
2.3e-09,5.6e-15,6.4863186,2024-07-15 14:29:44,1
2.3e-09,6.7e-15,6.5064958,2024-07-15 14:29:51,1
2.3e-09,7.8e-15,6.5461359,2024-07-15 14:29:58,1
2.3e-09,8.9e-15,6.4936233,2024-07-15 14:30:04,1
2.3e-09,1e-14,6.4215551,2024-07-15 14:30:10,1
3.4e-09,1e-16,6.7576978,2024-07-15 14:30:17,1
3.4e-09,1.2e-15,6.6873488,2024-07-15 14:30:24,1
3.4e-09,2.3e-15,6.5956092,2024-07-15 14:30:31,1
3.4e-09,3.4e-15,6.8034083,2024-07-15 14:30:37,1
3.4e-09,4.5e-15,6.6229053,2024-07-15 14:30:44,1
3.4e-09,5.6e-15,6.6788743,2024-07-15 14:30:51,1
3.4e-09,6.7e-15,6.6605683,2024-07-15 14:30:57,1
3.4e-09,7.8e-15,6.6786213,2024-07-15 14:31:04,1
