KP,DP
9.97494945526123e-11,1.243639850616455e-15
-1.2014843320846558e-10,-8.981047344207764e-16
-4.0041299819946283e-11,-9.87122187614441e-16
5.557231473922729e-11,2.794960880279541e-16
8.33469796180725e-11,5.083348226547241e-16
1.174034080505371e-10,8.741986036300659e-16
1.3909018802642823e-10,1.0755608749389648e-15
1.6295536375045777e-10,1.336172842979431e-15
1.8101751804351806e-10,1.5136170625686645e-15
2.0064975595474243e-10,1.733776512145996e-15
2.162981925010681e-10,1.8970728302001957e-15
2.323486771583557e-10,2.0829533910751344e-15
2.472111191749573e-10,2.237122645378113e-15
2.640637946128845e-10,2.425051555633545e-15
2.8083834695816037e-10,2.6005236434936524e-15
2.9710462284088134e-10,2.7859754800796513e-15
3.1298552322387695e-10,2.9554359006881716e-15
3.288454637527466e-10,3.1336946964263917e-15
3.445081911087036e-10,3.3048557233810427e-15
3.6019235467910766e-10,3.4784128427505497e-15
3.765391354560852e-10,3.6547900152206416e-15
3.936028385162353e-10,3.8369978380203246e-15
4.089468808174133e-10,4.008539953231811e-15
4.2486589002609253e-10,4.181530203819275e-15
4.402851972579956e-10,4.3510668420791625e-15
4.5657005119323727e-10,4.525643372535705e-15
4.701215496063232e-10,4.680550985336304e-15
4.864259343147277e-10,4.8544225025177e-15
5.025593056678772e-10,5.0246784448623656e-15
5.177128038406371e-10,5.186064558029175e-15
5.299819402694702e-10,5.325714349746704e-15
5.457427978515624e-10,5.49236424446106e-15
5.588708119392395e-10,5.634619727134704e-15
5.749998960494995e-10,5.798759202957153e-15
5.850296626091004e-10,5.910856313705444e-15
5.979223546981811e-10,6.048943643569946e-15
6.084775466918945e-10,6.165513777732849e-15
6.234333553314209e-10,6.314981355667114e-15
6.319540123939514e-10,6.405080146789551e-15
6.429650812149048e-10,6.5171153306961056e-15
6.512313618659972e-10,6.6031555318832396e-15
6.572739925384521e-10,6.672670793533325e-15
6.68618989944458e-10,6.784348707199097e-15
6.772882714271546e-10,6.863110122680664e-15
6.796029062271118e-10,6.889171795845031e-15
6.855469303131103e-10,6.951027183532715e-15
6.946430306434631e-10,7.031798839569092e-15
6.973897242546081e-10,7.0543687915802e-15
7.033780498504638e-10,7.10622061252594e-15
7.043569703102111e-10,7.120158915519714e-15
7.144096021652222e-10,7.20878098964691e-15
7.198653569221496e-10,7.254082856178284e-15
7.247799663543701e-10,7.304548468589783e-15
7.407828149795532e-10,7.443583755493165e-15
7.495792846679687e-10,7.528656945228577e-15
7.646427507400512e-10,7.681568608283996e-15
7.878472146987915e-10,7.905577049255371e-15
8.168704199790954e-10,8.182775883674621e-15
8.448765959739685e-10,8.473646259307862e-15
8.92431646823883e-10,8.939136037826539e-15
9.381698594093323e-10,9.407426815032958e-15
1.0075155367851258e-09,1.009310462474823e-14
1.0757003240585328e-09,1.078915279865265e-14
1.1681451897621155e-09,1.1721404237747192e-14
1.267819776058197e-09,1.2736818661689759e-14
1.3915881910324097e-09,1.3989098491668701e-14
1.5314542503356935e-09,1.5401573534011842e-14
1.6751011815071107e-09,1.687067352771759e-14
1.8498063292503358e-09,1.8653337702751162e-14
2.045702842235565e-09,2.0644914460182192e-14
2.244773820400238e-09,2.267769638538361e-14
2.4609656648635864e-09,2.4892981476783756e-14
2.7048802509307858e-09,2.7387137427330018e-14
2.9518163905143737e-09,2.9918125557899475e-14
3.1927256193161006e-09,3.241198616504669e-14
3.4827371172904966e-09,3.5406577687263486e-14
3.745970019817353e-09,3.816273181438446e-14
4.00625425195694e-09,4.095640408039093e-14
4.327540234088898e-09,4.446987584590912e-14
4.852380697727204e-09,5.018078824520111e-14
6.124643843173981e-09,6.328883330821991e-14
9.143728384017944e-09,9.328708623886109e-14
8.375578311920165e-09,8.558879858016969e-14
6.813163618564606e-09,6.97677623987198e-14
6.3815926003456115e-09,6.53640398836136e-14
6.2128162331581115e-09,6.365615475177765e-14
6.354587733745575e-09,6.510166061878205e-14
6.394147552967072e-09,6.551537003040315e-14
6.526578580379486e-09,6.68689955186844e-14
6.5961652960777285e-09,6.758828054904939e-14
6.759447323322296e-09,6.92499777841568e-14
6.833144075870514e-09,7.000480882167817e-14
6.907216200351715e-09,7.076779514789582e-14
7.089968979358673e-09,7.261964589595795e-14
7.09844247674942e-09,7.271965298175813e-14
7.328555951595306e-09,7.504232874393463e-14
7.3324392409324645e-09,7.508879292964935e-14
7.501230851650237e-09,7.678922778606416e-14
7.530167835712432e-09,7.708571444988252e-14
7.691930273532867e-09,7.871022699832917e-14
7.695689709186552e-09,7.875436654567719e-14
7.899305164813995e-09,8.079278381347657e-14
7.896474631786345e-09,8.076357339859009e-14
8.043886714935301e-09,8.223405960083008e-14
8.091863821029663e-09,8.270653282165528e-14
8.1649317779541e-09,8.343050523757935e-14
8.237877786636351e-09,8.41536011505127e-14
8.34261989402771e-09,8.518945619583131e-14
8.424334743499755e-09,8.598836961746216e-14
8.444875400543212e-09,8.617956159591675e-14
8.567846864700317e-09,8.738526767730713e-14
8.5844699344635e-09,8.75309958267212e-14
8.66637342262268e-09,8.832623174667359e-14
8.709135335922241e-09,8.873414861679078e-14
8.839280786514282e-09,9.0001781539917e-14
8.847809541702269e-09,9.005743947982789e-14
8.908585496902464e-09,9.063177759170533e-14
8.968197227478026e-09,9.119285383224488e-14
9.007900907516478e-09,9.155875572204591e-14
9.110918590545653e-09,9.254798461914063e-14
9.124662538528442e-09,9.265175495147706e-14
9.22510597038269e-09,9.360910581588745e-14
9.208787771224974e-09,9.341212129592896e-14
9.29944676208496e-09,9.427896369934083e-14
9.383642496109009e-09,9.507536193847657e-14
9.376958208084106e-09,9.49711152458191e-14
9.45259088897705e-09,9.568268323898316e-14
9.490171907424927e-09,9.601575437545777e-14
9.519793897628783e-09,9.627226488113404e-14
9.586810173034667e-09,9.690043170928955e-14
9.61707239151001e-09,9.716338260650635e-14
9.631923400878906e-09,9.727767097473145e-14
9.713083766937254e-09,9.805270921707154e-14
9.712809383392334e-09,9.80179539680481e-14
9.735385051727294e-09,9.82120231628418e-14
9.767183055877684e-09,9.850220281600953e-14
9.790391330718992e-09,9.871061998367311e-14
9.799177320480346e-09,9.877906343460084e-14
9.807578411102295e-09,9.88501173400879e-14
9.840647344589232e-09,9.917598590850831e-14
9.815146823883056e-09,9.891703643798828e-14
9.792424436569214e-09,9.86869544029236e-14
9.82028198814392e-09,9.897198936462403e-14
9.737210464477538e-09,9.813565307617188e-14
9.747153057098387e-09,9.824039518356324e-14
9.719411737442016e-09,9.797119443893433e-14
9.666501443862914e-09,9.744519737243653e-14
9.645768337249754e-09,9.724895597457886e-14
9.58923198890686e-09,9.668911827087403e-14
9.537697423934936e-09,9.617834568023682e-14
