% Model,Na_0709.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 24 2024, 16:38"
% Dimension,1
% Nodes,508
% Expressions,1
% Description,线结果图
% 空间坐标，x 分量 (m),电解质盐浓度
2.6E-4,927.0378576647579
2.603989352754277E-4,923.4081306596352
2.607978705508555E-4,919.8005222701227
2.611968058262832E-4,916.2150324962207
2.615957411017109E-4,912.6516613379289
2.6199467637713864E-4,909.1104087952473
2.623936116525664E-4,905.591274868176
2.627925469279942E-4,902.094259556715
2.631914822034219E-4,898.6193628608645
2.6359041747884963E-4,895.166584780624
2.6402862481379844E-4,891.3986627189283
2.644668321487473E-4,887.6558159824122
2.649050394836961E-4,883.9380445710758
2.653432468186449E-4,880.2453484849188
2.6578145415359373E-4,876.5777277239417
2.662196614885426E-4,872.9351822881441
2.666578688234914E-4,869.3177121775262
2.670960761584402E-4,865.7253173920881
2.67534283493389E-4,862.1579979318294
2.6801601299286583E-4,858.2645286823016
2.6849774249234265E-4,854.3995195642926
2.6897947199181946E-4,850.5629705778023
2.694612014912962E-4,846.7548817228306
2.6994293099077304E-4,842.9752529993777
2.7042466049024985E-4,839.2240844074437
2.7090638998972667E-4,835.5013759470281
2.7138811948920343E-4,831.8071276181316
2.7186984898868024E-4,828.1413394207535
2.723996088383557E-4,824.1399925173655
2.7292936868803116E-4,820.172014894939
2.7345912853770667E-4,816.2374065534738
2.7398888838738207E-4,812.3361674929697
2.745186482370576E-4,808.4682977134271
2.750484080867331E-4,804.6337972148458
2.7557816793640855E-4,800.8326659972257
2.7610792778608395E-4,797.0649040605672
2.7663768763575946E-4,793.3305114048698
2.772203230436337E-4,789.2692078179061
2.77802958451508E-4,785.2490854011177
2.783855938593823E-4,781.2701441545041
2.7896822926725654E-4,777.3323840780655
2.795508646751308E-4,773.4358051718017
2.801335000830051E-4,769.5804074357129
2.8071613549087934E-4,765.7661908697991
2.8129877089875366E-4,761.9931554740602
2.8188140630662793E-4,758.2613012484962
2.8252216299880646E-4,754.2025408259107
2.8316291969098504E-4,750.189174781364
2.838036763831636E-4,746.2212031148567
2.844444330753422E-4,742.2986258263883
2.8508518976752073E-4,738.421442915959
2.857259464596993E-4,734.5896543835688
2.863667031518779E-4,730.8032602292178
2.870074598440565E-4,727.062260452906
2.87648216536235E-4,723.3666550546332
2.883527980859788E-4,719.3530620273075
2.890573796357225E-4,715.3898340448858
2.8976196118546627E-4,711.4769711073677
2.9046654273521E-4,707.614473214753
2.9117112428495376E-4,703.8023403670422
2.9187570583469747E-4,700.040572564235
2.9258028738444124E-4,696.3291698063316
2.9328486893418496E-4,692.6681320933319
2.9398945048392873E-4,689.0574594252357
2.9476407418143556E-4,685.1436016649934
2.9553869787894244E-4,681.2858873970908
2.9631332157644937E-4,677.484316621528
2.970879452739562E-4,673.7388893383046
2.9786256897146307E-4,670.0496055474209
2.9863719266896995E-4,666.4164652488768
2.994118163664768E-4,662.8394684426725
3.0018644006398365E-4,659.3186151288078
3.0096106376149053E-4,655.8539053072827
3.0181296174426283E-4,652.1058288435025
3.0266485972703524E-4,648.4209580734453
3.035167577098076E-4,644.799292997111
3.0436865569257994E-4,641.2408336144996
3.0522055367535224E-4,637.7455799256112
3.0607245165812464E-4,634.3135319304457
3.0692434964089694E-4,630.9446896290032
3.077762476236693E-4,627.6390530212836
3.0862814560644164E-4,624.396622107287
3.095648724102698E-4,620.9015500312527
3.105015992140981E-4,617.4778114191951
3.1143832601792634E-4,614.125406271114
3.123750528217545E-4,610.8443345870097
3.1331177962558277E-4,607.6345963668822
3.14248506429411E-4,604.4961916107312
3.151852332332392E-4,601.4291203185569
