% Model,Na_0709.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 24 2024, 17:12"
% Dimension,1
% Nodes,194
% Expressions,1
% Description,全局
% 时间 (s),边界电位
0,4.291893718471184
30,4.284794211649711
60,4.279890136439223
90,4.275424281360293
120,4.271261394955022
150,4.267411352812819
180,4.263804303682276
210,4.260399749679326
240,4.25709921579827
270,4.253883083967242
300,4.250773684418788
330,4.2477444828770015
360,4.244732842853232
390,4.241796372947531
420,4.238860786920886
450,4.2358466442962595
480,4.23277191188326
510,4.229747242773971
540,4.226798196208787
570,4.223807039937688
600,4.220775006679326
630,4.217550475070539
660,4.21433104702484
690,4.211180428891416
720,4.208166079762195
750,4.205278705392355
780,4.202297622557104
810,4.199337703581042
840,4.196594409340737
870,4.193998380882997
900,4.191484561313336
930,4.1890203778759405
960,4.186602008131712
990,4.184212447008241
1020,4.1818240549936
1050,4.1794234213031904
1080,4.177009539237074
1110,4.174580986672412
1140,4.172168249558103
1170,4.169712773389436
1200,4.1672104785945585
1230,4.1647154211522
1260,4.162178536167188
1290,4.159601337802166
1320,4.156927586455968
1350,4.154156753935769
1380,4.151401473304101
1410,4.148553495479605
1440,4.145540481093872
1470,4.142383615647582
1500,4.139085426466855
1530,4.135507992890284
1560,4.131692915599778
1590,4.127683614274217
1620,4.123369762792886
1650,4.118578723961295
1680,4.113359682767862
1710,4.107063226121351
1740,4.10076676947484
1770,4.093388339458532
1800,4.08486411284885
1830,4.076339886239167
1860,4.063286166264387
1890,4.050016387133944
1920,4.032766761223636
1950,4.004589569792949
1980,3.949311982360586
2010,3.8678572321675198
2040,3.796085672378072
2070,3.754089667596723
2100,3.7345320397906434
2130,3.725535962544638
2160,3.7210677889708124
2190,3.7179178694055164
2220,3.715686232452591
2250,3.7137824870568292
2280,3.712169951735742
2310,3.7107070679314202
2340,3.7093568075283545
2370,3.7080076257267716
2400,3.7067004867528097
2430,3.705483376124315
2460,3.7043265460518846
2490,3.7031658097014666
2520,3.7020237563622986
2550,3.7008953869321224
2580,3.699782404503437
2610,3.698690847587777
2640,3.6975881051776662
2670,3.696486408045763
2700,3.6954007472445007
2730,3.6943405644769753
2760,3.693227594566952
2790,3.692107955510215
2820,3.691012252509596
2850,3.6899600577563687
2880,3.688875039511854
2910,3.687751377829643
2940,3.6865995024822737
2970,3.685438616480972
3000,3.684316573323885
3030,3.68320064494327
3060,3.682037547293907
3090,3.680887990560134
3120,3.679752469809994
3150,3.678572294357826
3180,3.677425076211492
3210,3.67631249895442
3240,3.6752089360859332
3270,3.6740982033740788
3300,3.6730151734854015
3330,3.6718669401089787
3360,3.670786903607661
3390,3.669768564032682
3420,3.668750798100249
3450,3.6677097418406626
3480,3.666660888149557
3510,3.665622717978176
3540,3.664597572369063
3570,3.6635867833608784
3600,3.6625958705279866
3630,3.6616154575371382
3660,3.6606575564477533
3690,3.6596904264957777
3720,3.6587112634544634
3750,3.657718964833898
3780,3.6567719678405295
3810,3.6558037007132995
3840,3.6548090888012847
3870,3.6538101125616285
3900,3.6528325539870297
3930,3.6518415444174326
3960,3.6508197146872035
3990,3.649804166302093
4020,3.6487673284593045
4050,3.647644061939544
4080,3.646526371859498
4110,3.645421558858942
4140,3.6442977687377045
4170,3.643129724883642
4200,3.641929863254032
4230,3.6406930047612476
4260,3.639384009299985
4290,3.6379845722323845
4320,3.636533703862776
4350,3.6350497375886874
4380,3.6334994333938075
4410,3.631822590992336
4440,3.6300482125684312
4470,3.628104653293669
4500,3.626055432595143
4530,3.6238252275311957
4560,3.621396003036732
4590,3.6185812934326425
4620,3.6154158589177015
4650,3.611511935733995
4680,3.607304658373749
4710,3.6019852842323683
4740,3.595602862377152
4770,3.587124039308719
4800,3.5756955439312548
4830,3.556083226945162
4860,3.521228487719367
4890,3.445598511004527
4920,3.3708228482570317
4950,3.348577087653799
4980,3.3424166562144504
5010,3.3377619468953843
5040,3.333779481212473
5070,3.3293371528442868
5100,3.3238386730107274
5130,3.31717106709514
5160,3.3079603960428723
5190,3.292923912553435
5220,3.26419489112838
5250,3.190234558040331
5280,3.0926200321232273
5310,2.9998359782478246
5340,2.918338792565587
5370,2.8430417542757644
5400,2.773177934039948
5430,2.710049651938424
5460,2.6539542621394934
5490,2.605822743554419
5520,2.566932416030064
5550,2.529135088847242
5580,2.4839629940728933
5610,2.4320722286663217
5640,2.3771045740439094
5670,2.322144475978189
5700,2.2681068981922845
5730,2.214306346016381
5760,2.161444651020256
5790,2.1378468443690974
