KP,DP,time,completion,yes
1e-12,1e-17,3.3882541,2024-07-24 14:24:37,1
1e-12,1.12e-15,3.8344175,2024-07-24 14:24:41,1
1e-12,2.23e-15,5.0328776,2024-07-24 14:24:46,1
1e-12,3.34e-15,4.155441,2024-07-24 14:24:50,1
1e-12,4.45e-15,4.0603563,2024-07-24 14:24:54,1
1e-12,5.56e-15,4.0443573,2024-07-24 14:24:58,1
1e-12,6.67e-15,3.9109639,2024-07-24 14:25:02,1
1e-12,7.78e-15,4.8931261,2024-07-24 14:25:07,1
1e-12,8.89e-15,4.8633193,2024-07-24 14:25:12,1
1e-12,1e-14,4.5098974,2024-07-24 14:25:16,1
1.12e-10,1e-17,5.0254703,2024-07-24 14:25:21,1
1.12e-10,1.12e-15,5.8069439,2024-07-24 14:25:27,1
1.12e-10,2.23e-15,9.5378448,2024-07-24 14:25:37,1
1.12e-10,3.34e-15,5.5138477,2024-07-24 14:25:42,1
1.12e-10,4.45e-15,5.7501947,2024-07-24 14:25:48,1
1.12e-10,5.56e-15,5.5118088,2024-07-24 14:25:53,1
1.12e-10,6.67e-15,5.7144141,2024-07-24 14:25:59,1
1.12e-10,7.78e-15,5.8252916,2024-07-24 14:26:05,1
1.12e-10,8.89e-15,5.8974809,2024-07-24 14:26:11,1
1.12e-10,1e-14,6.1616344,2024-07-24 14:26:17,1
2.23e-10,1e-17,4.7541065,2024-07-24 14:26:22,1
2.23e-10,1.12e-15,5.5768635,2024-07-24 14:26:27,1
2.23e-10,2.23e-15,6.0004487,2024-07-24 14:26:33,1
2.23e-10,3.34e-15,6.0040032,2024-07-24 14:26:39,1
2.23e-10,4.45e-15,6.4131159,2024-07-24 14:26:46,1
2.23e-10,5.56e-15,5.8836903,2024-07-24 14:26:52,1
2.23e-10,6.67e-15,5.4751344,2024-07-24 14:26:57,1
2.23e-10,7.78e-15,5.5477237,2024-07-24 14:27:03,1
2.23e-10,8.89e-15,5.460824,2024-07-24 14:27:08,1
2.23e-10,1e-14,5.4968831,2024-07-24 14:27:14,1
3.34e-10,1e-17,4.102806,2024-07-24 14:27:18,1
3.34e-10,1.12e-15,5.1035221,2024-07-24 14:27:23,1
3.34e-10,2.23e-15,5.1874693,2024-07-24 14:27:28,1
3.34e-10,3.34e-15,5.2166784,2024-07-24 14:27:33,1
3.34e-10,4.45e-15,5.50929,2024-07-24 14:27:39,1
3.34e-10,5.56e-15,5.7108444,2024-07-24 14:27:44,1
3.34e-10,6.67e-15,5.347382,2024-07-24 14:27:50,1
3.34e-10,7.78e-15,5.6559586,2024-07-24 14:27:55,1
3.34e-10,8.89e-15,5.4662915,2024-07-24 14:28:01,1
3.34e-10,1e-14,5.5203264,2024-07-24 14:28:06,1
4.45e-10,1e-17,4.4276237,2024-07-24 14:28:11,1
4.45e-10,1.12e-15,5.2112706,2024-07-24 14:28:16,1
4.45e-10,2.23e-15,5.3959894,2024-07-24 14:28:21,1
4.45e-10,3.34e-15,5.3509378,2024-07-24 14:28:27,1
4.45e-10,4.45e-15,5.6396871,2024-07-24 14:28:32,1
4.45e-10,5.56e-15,5.8771668,2024-07-24 14:28:38,1
4.45e-10,6.67e-15,5.5501901,2024-07-24 14:28:44,1
4.45e-10,7.78e-15,5.5576724,2024-07-24 14:28:49,1
4.45e-10,8.89e-15,5.6821986,2024-07-24 14:28:55,1
4.45e-10,1e-14,5.5586769,2024-07-24 14:29:01,1
5.56e-10,1e-17,4.6601664,2024-07-24 14:29:05,1
5.56e-10,1.12e-15,5.251219,2024-07-24 14:29:11,1
5.56e-10,2.23e-15,5.3305188,2024-07-24 14:29:16,1
5.56e-10,3.34e-15,5.2643944,2024-07-24 14:29:21,1
5.56e-10,4.45e-15,5.5764728,2024-07-24 14:29:27,1
5.56e-10,5.56e-15,5.9860329,2024-07-24 14:29:33,1
5.56e-10,6.67e-15,5.7474683,2024-07-24 14:29:38,1
5.56e-10,7.78e-15,5.6312546,2024-07-24 14:29:44,1
5.56e-10,8.89e-15,5.5834047,2024-07-24 14:29:50,1
5.56e-10,1e-14,5.58007,2024-07-24 14:29:55,1
6.67e-10,1e-17,4.6278433,2024-07-24 14:30:00,1
6.67e-10,1.12e-15,5.3327326,2024-07-24 14:30:05,1
6.67e-10,2.23e-15,5.372858,2024-07-24 14:30:11,1
6.67e-10,3.34e-15,5.2969399,2024-07-24 14:30:16,1
6.67e-10,4.45e-15,5.416968,2024-07-24 14:30:21,1
6.67e-10,5.56e-15,5.4865707,2024-07-24 14:30:27,1
6.67e-10,6.67e-15,5.5901081,2024-07-24 14:30:32,1
6.67e-10,7.78e-15,5.8839936,2024-07-24 14:30:38,1
6.67e-10,8.89e-15,5.6652656,2024-07-24 14:30:44,1
6.67e-10,1e-14,5.6655388,2024-07-24 14:30:50,1
7.78e-10,1e-17,4.5235187,2024-07-24 14:30:54,1
7.78e-10,1.12e-15,5.4605459,2024-07-24 14:31:00,1
7.78e-10,2.23e-15,5.3958156,2024-07-24 14:31:05,1
7.78e-10,3.34e-15,5.3115892,2024-07-24 14:31:10,1
7.78e-10,4.45e-15,5.3770102,2024-07-24 14:31:16,1
7.78e-10,5.56e-15,5.7848686,2024-07-24 14:31:21,1
7.78e-10,6.67e-15,5.7076898,2024-07-24 14:31:27,1
7.78e-10,7.78e-15,5.8198057,2024-07-24 14:31:33,1
7.78e-10,8.89e-15,5.8897711,2024-07-24 14:31:39,1
7.78e-10,1e-14,5.8188511,2024-07-24 14:31:45,1
8.89e-10,1e-17,4.4455362,2024-07-24 14:31:49,1
8.89e-10,1.12e-15,5.3431891,2024-07-24 14:31:54,1
8.89e-10,2.23e-15,5.5902473,2024-07-24 14:32:00,1
8.89e-10,3.34e-15,5.3418039,2024-07-24 14:32:05,1
8.89e-10,4.45e-15,6.4888287,2024-07-24 14:32:12,1
8.89e-10,5.56e-15,5.9639064,2024-07-24 14:32:18,1
8.89e-10,6.67e-15,6.1980782,2024-07-24 14:32:24,1
8.89e-10,7.78e-15,5.724366,2024-07-24 14:32:30,1
8.89e-10,8.89e-15,5.9507554,2024-07-24 14:32:36,1
8.89e-10,1e-14,5.6086737,2024-07-24 14:32:41,1
1e-09,1e-17,4.6501061,2024-07-24 14:32:46,1
1e-09,1.12e-15,5.6065827,2024-07-24 14:32:52,1
1e-09,2.23e-15,5.2824589,2024-07-24 14:32:57,1
1e-09,3.34e-15,5.3923449,2024-07-24 14:33:02,1
1e-09,4.45e-15,5.5572578,2024-07-24 14:33:08,1
1e-09,5.56e-15,5.5175333,2024-07-24 14:33:13,1
1e-09,6.67e-15,5.4591213,2024-07-24 14:33:19,1
1e-09,7.78e-15,5.569641,2024-07-24 14:33:24,1
1e-09,8.89e-15,5.928684,2024-07-24 14:33:30,1
1e-09,1e-14,5.6002321,2024-07-24 14:33:36,1
