KP,DP
5.217247700095176e-10,5.307640048265457e-15
5.21097641646862e-10,5.3149319338798524e-15
5.21266749560833e-10,5.315498802661896e-15
5.216039531230926e-10,5.316235970258713e-15
5.223244481086731e-10,5.317531670331955e-15
5.235045712590217e-10,5.319476411342621e-15
5.244449065327644e-10,5.320972778201103e-15
5.253773223161697e-10,5.3225018948316575e-15
5.263008658885955e-10,5.323978016376495e-15
5.271249096989631e-10,5.3252707391977305e-15
5.277528121471405e-10,5.326224055290222e-15
5.283567774891853e-10,5.327139858007431e-15
5.289513942599296e-10,5.3280300563573834e-15
5.295369601845741e-10,5.328900009393692e-15
5.301251460909843e-10,5.329821766614914e-15
5.307175001502037e-10,5.330726851224899e-15
5.31305269241333e-10,5.331574177145958e-15
5.318858333826065e-10,5.332407807707786e-15
5.32463182091713e-10,5.3332426291704175e-15
5.330355885624886e-10,5.334041128158569e-15
5.33601087808609e-10,5.334819977283478e-15
5.341614066362381e-10,5.335588108301163e-15
5.347203559279442e-10,5.33636219382286e-15
5.352585240006447e-10,5.337036243677139e-15
5.357766849398613e-10,5.33766563475132e-15
5.366265712976455e-10,5.338749949932098e-15
5.381222831606865e-10,5.340560119152069e-15
5.397256524562836e-10,5.342372074723244e-15
5.417746568322181e-10,5.344487709999085e-15
5.42917028427124e-10,5.345629783868789e-15
5.448056184649467e-10,5.347201772928238e-15
5.46651633799076e-10,5.3484319734573364e-15
5.479152390956878e-10,5.349000033140182e-15
5.488459280729293e-10,5.349214990735054e-15
5.499364954829216e-10,5.349297758340835e-15
5.503463439941406e-10,5.349181050062179e-15
5.50549392580986e-10,5.34865229010582e-15
5.507336249351501e-10,5.347936558723449e-15
5.511038759946823e-10,5.346332415342331e-15
5.503714720010757e-10,5.3413520681858064e-15
5.496930753588676e-10,5.339438290596008e-15
5.49485382258892e-10,5.336303839683532e-15
5.464465011358261e-10,5.320092702507973e-15
5.443449184894561e-10,5.2971494030952455e-15
5.404597237110138e-10,5.2926061165332795e-15
5.362848423123359e-10,5.300287426710129e-15
5.350058148503303e-10,5.309627661705017e-15
5.338643959760666e-10,5.309316241145134e-15
5.335884047150611e-10,5.3126519542932505e-15
5.33732860982418e-10,5.3128591710329055e-15
5.340754831433296e-10,5.312797839641571e-15
5.344328129291535e-10,5.312579309344292e-15
5.347597747445106e-10,5.312284561395645e-15
5.350415418744087e-10,5.3119784998893736e-15
5.351261553764343e-10,5.311081156134605e-15
5.351706355214119e-10,5.310165353417396e-15
5.351990980505943e-10,5.309204891920089e-15
5.352152347564697e-10,5.308203344345092e-15
5.35218569278717e-10,5.307154756188392e-15
5.351837949752807e-10,5.305920387506485e-15
5.350935842394828e-10,5.304357925653457e-15
5.349733628034592e-10,5.3027883183956145e-15
5.349151872992515e-10,5.301051985025406e-15
5.338108649849891e-10,5.296621834039688e-15
5.318776161670685e-10,5.288917896747589e-15
5.301387819051742e-10,5.281915400028228e-15
5.296112723946571e-10,5.279047115445137e-15
5.268849431872367e-10,5.269419277906418e-15
5.245490508079528e-10,5.261111553907394e-15
5.241676052808761e-10,5.259178721904754e-15
5.217407876253127e-10,5.250363674163818e-15
5.18673265337944e-10,5.239926619529724e-15
5.173536281585693e-10,5.233716667294502e-15
5.146367070674897e-10,5.2248444563150405e-15
5.113427945375443e-10,5.213826242089272e-15
5.101894666552543e-10,5.2088857901096344e-15
5.073807866573333e-10,5.199906398057938e-15
5.04674047768116e-10,5.1906316626071926e-15
5.033682250380516e-10,5.184003108739853e-15
4.990832746326923e-10,5.168937618136406e-15
4.972904032468796e-10,5.162570466995239e-15
4.952207069694996e-10,5.157306685447693e-15
4.920286462306976e-10,5.144565237760544e-15
4.917137422859668e-10,5.139163311719894e-15
4.904653209745883e-10,5.105834761857986e-15
4.861011756658553e-10,5.087039965391159e-15
4.841791808605193e-10,5.074947558641434e-15
4.837892501652241e-10,5.012650346755981e-15
3.268379027247429e-10,3.0773519885540012e-15
4.567509787976742e-10,3.668043550252914e-15
4.4622814953327176e-10,3.618107293248176e-15
4.827278002798557e-10,5.070686515569687e-15
4.645590901374817e-10,4.909718110859394e-15
4.635472412705421e-10,4.689895090758801e-15
4.4928924095630643e-10,4.082737539112568e-15
