KP,DP
4.778308459520339e-10,4.637831587195396e-15
4.696316725611687e-10,4.553646214008331e-15
4.614048107266426e-10,4.472488110661506e-15
4.575805305242538e-10,4.440242685079575e-15
4.5871718579530714e-10,4.467079039216041e-15
4.5898698437213894e-10,4.492107605934143e-15
4.5477447050809857e-10,4.464076778292656e-15
4.5340630412101743e-10,4.463939824700356e-15
4.5275130867958064e-10,4.4694096320867535e-15
4.5187409114837643e-10,4.469892542362213e-15
4.497349951267242e-10,4.454093456864357e-15
4.469453099966049e-10,4.430601152181625e-15
4.434900304079056e-10,4.399448973536491e-15
4.3961603009700773e-10,4.363256902694702e-15
4.3877799320220945e-10,4.357868672013283e-15
4.397602481842041e-10,4.370616669654846e-15
4.4025185203552246e-10,4.377582843899727e-15
4.4064425384998317e-10,4.382850793600082e-15
4.4187588346004483e-10,4.3961483919620514e-15
4.429640095233917e-10,4.407352982163429e-15
4.4385873329639434e-10,4.415926277041435e-15
4.450578513145447e-10,4.427090376615524e-15
4.474669245481491e-10,4.4502164793014524e-15
4.480235515832901e-10,4.453718323111534e-15
4.4665556383132933e-10,4.436847426891327e-15
4.4559935390949245e-10,4.420412400364876e-15
4.4456207931041713e-10,4.3969992905855174e-15
4.438328907489776e-10,4.371984419226646e-15
4.455169435739517e-10,4.36253581225872e-15
4.5343881571292875e-10,4.428379526734352e-15
4.682817865014076e-10,4.5562644094228745e-15
4.85721695125103e-10,4.716248236894608e-15
4.95484878540039e-10,4.808398950099945e-15
4.986820303797722e-10,4.839202790260315e-15
5.036078342795372e-10,4.89610819876194e-15
5.04181253015995e-10,4.90782904446125e-15
4.936457108855247e-10,4.803818745613098e-15
4.725820697546005e-10,4.601644279956817e-15
4.715563468933106e-10,4.681806194782257e-15
4.993709664940834e-10,5.098351736664772e-15
5.203557699918746e-10,5.377207709550857e-15
5.258926846385002e-10,5.455060467720032e-15
4.800493750572204e-10,4.89242474257946e-15
4.793254264593124e-10,4.691835961341858e-15
5.498879662752151e-10,5.364301917552948e-15
5.48987049818039e-10,5.368780895471573e-15
5.415009878277778e-10,5.291572414636612e-15
5.0633529484272e-10,4.924545123577118e-15
5.050662709474563e-10,4.913214893341064e-15
5.036289132237434e-10,4.904262296557426e-15
5.02317612349987e-10,4.904579671621323e-15
5.023934727311134e-10,4.923257759809494e-15
5.043305919766426e-10,4.963229749798774e-15
5.083500608205795e-10,5.0246486723423e-15
5.069390220046043e-10,5.018369052410126e-15
5.036105733513832e-10,5.002438967823982e-15
5.017558048963546e-10,5.00303501367569e-15
5.022958188652992e-10,5.027708096504211e-15
5.058532181978226e-10,5.082035800218582e-15
5.108114145994186e-10,5.148016468286514e-15
5.199728358387947e-10,5.255660205483437e-15
5.340870944261551e-10,5.407501248717308e-15
5.272381048202514e-10,5.339266800880432e-15
4.774398732185364e-10,4.849071189761162e-15
4.084484888315201e-10,4.1965766400098796e-15
3.833940795660019e-10,3.978741828799247e-15
3.6300049877166744e-10,3.793080393671989e-15
2.913043404817581e-10,3.157578807473183e-15
2.6788408529758454e-10,2.9673830175399782e-15
2.6204902863502503e-10,2.9183315998315813e-15
2.1471631896495818e-10,2.514263721108437e-15
1.8358581471443174e-10,2.2623798650503162e-15
1.5702729773521422e-10,2.0385036140680315e-15
1.2108745968341826e-10,1.7426481276750565e-15
9.819382083415984e-11,1.5654379200935365e-15
8.884798860549926e-11,1.4918277460336685e-15
8.177010786533355e-11,1.4468509954214095e-15
8.538996994495391e-11,1.491692578792572e-15
8.057110893726348e-11,1.4565377825498582e-15
7.512202322483062e-11,1.4259834361076356e-15
7.692361795902252e-11,1.4466729557514192e-15
9.394409132003784e-11,1.595585573911667e-15
1.1702112889289857e-10,1.7953169065713884e-15
1.1700326538085936e-10,1.7957563489675523e-15
9.242331099510192e-11,1.5924707728624343e-15
5.416621816158295e-11,1.277419751882553e-15
4.012180590629578e-11,1.162173899412155e-15
3.952194917201996e-11,1.1572566699981689e-15
3.5552914977073673e-11,1.1247736597061157e-15
-2.448730170726776e-11,6.328685104846954e-16
-3.5467407107353203e-11,5.394494879245758e-16
-3.529115378856658e-11,5.405379712581634e-16
-3.2820272803306576e-11,5.593268132209778e-16
-2.6763232231140136e-11,6.052872478961945e-16
-2.319624614715576e-11,6.325005221366882e-16
