KP,DP,time,completion,yes
1e-12,1e-17,38.7498811,2024-07-22 16:11:29,1
1e-12,1.12e-15,36.6305224,2024-07-22 16:12:06,1
1e-12,2.23e-15,35.8073299,2024-07-22 16:12:42,1
1e-12,3.34e-15,37.0767176,2024-07-22 16:13:19,1
1e-12,4.45e-15,35.5410805,2024-07-22 16:13:54,1
1e-12,5.56e-15,35.4577894,2024-07-22 16:14:30,1
1e-12,6.67e-15,36.1522731,2024-07-22 16:15:06,1
1e-12,7.78e-15,35.1883043,2024-07-22 16:15:41,1
1e-12,8.89e-15,35.1384361,2024-07-22 16:16:16,1
1e-12,1e-14,35.1931104,2024-07-22 16:16:52,1
1.12e-10,1e-17,71.0619455,2024-07-22 16:18:03,1
1.12e-10,1.12e-15,59.2044164,2024-07-22 16:19:02,1
1.12e-10,2.23e-15,60.0891866,2024-07-22 16:20:02,1
1.12e-10,3.34e-15,59.3207452,2024-07-22 16:21:01,1
1.12e-10,4.45e-15,60.1076802,2024-07-22 16:22:01,1
1.12e-10,5.56e-15,60.8400504,2024-07-22 16:23:02,1
1.12e-10,6.67e-15,61.2291681,2024-07-22 16:24:03,1
1.12e-10,7.78e-15,61.0710023,2024-07-22 16:25:04,1
1.12e-10,8.89e-15,61.9728672,2024-07-22 16:26:06,1
1.12e-10,1e-14,62.3383152,2024-07-22 16:27:09,1
2.23e-10,1e-17,78.4859137,2024-07-22 16:28:27,1
2.23e-10,1.12e-15,67.513276,2024-07-22 16:29:35,1
2.23e-10,2.23e-15,69.2123958,2024-07-22 16:30:44,1
2.23e-10,3.34e-15,74.0349069,2024-07-22 16:31:58,1
2.23e-10,4.45e-15,72.0182492,2024-07-22 16:33:10,1
2.23e-10,5.56e-15,71.691235,2024-07-22 16:34:22,1
2.23e-10,6.67e-15,71.0938058,2024-07-22 16:35:33,1
2.23e-10,7.78e-15,71.3713932,2024-07-22 16:36:44,1
2.23e-10,8.89e-15,72.0337464,2024-07-22 16:37:56,1
2.23e-10,1e-14,73.2539957,2024-07-22 16:39:09,1
3.34e-10,1e-17,90.371667,2024-07-22 16:40:40,1
3.34e-10,1.12e-15,70.5231299,2024-07-22 16:41:50,1
3.34e-10,2.23e-15,71.5443929,2024-07-22 16:43:02,1
3.34e-10,3.34e-15,71.5698207,2024-07-22 16:44:13,1
3.34e-10,4.45e-15,72.0185252,2024-07-22 16:45:25,1
3.34e-10,5.56e-15,73.7018001,2024-07-22 16:46:39,1
3.34e-10,6.67e-15,72.4987456,2024-07-22 16:47:52,1
3.34e-10,7.78e-15,72.2382594,2024-07-22 16:49:04,1
3.34e-10,8.89e-15,71.4891301,2024-07-22 16:50:15,1
3.34e-10,1e-14,71.0380543,2024-07-22 16:51:26,1
4.45e-10,1e-17,87.8921634,2024-07-22 16:52:54,1
4.45e-10,1.12e-15,77.0496265,2024-07-22 16:54:11,1
4.45e-10,2.23e-15,75.1548065,2024-07-22 16:55:27,1
4.45e-10,3.34e-15,77.1580512,2024-07-22 16:56:44,1
4.45e-10,4.45e-15,77.3704814,2024-07-22 16:58:01,1
4.45e-10,5.56e-15,78.1146725,2024-07-22 16:59:19,1
4.45e-10,6.67e-15,76.5155799,2024-07-22 17:00:36,1
4.45e-10,7.78e-15,78.7808302,2024-07-22 17:01:55,1
4.45e-10,8.89e-15,77.9165814,2024-07-22 17:03:12,1
4.45e-10,1e-14,78.4453201,2024-07-22 17:04:31,1
5.56e-10,1e-17,90.3807218,2024-07-22 17:06:01,1
5.56e-10,1.12e-15,78.343885,2024-07-22 17:07:20,1
5.56e-10,2.23e-15,75.3445194,2024-07-22 17:08:35,1
5.56e-10,3.34e-15,76.7913487,2024-07-22 17:09:52,1
5.56e-10,4.45e-15,77.2644046,2024-07-22 17:11:09,1
5.56e-10,5.56e-15,76.4056084,2024-07-22 17:12:25,1
5.56e-10,6.67e-15,78.1247511,2024-07-22 17:13:44,1
5.56e-10,7.78e-15,77.9219824,2024-07-22 17:15:01,1
5.56e-10,8.89e-15,76.8367127,2024-07-22 17:16:18,1
5.56e-10,1e-14,77.5149031,2024-07-22 17:17:36,1
6.67e-10,1e-17,89.0548609,2024-07-22 17:19:05,1
