KP,DP,time,completion,yes
1e-12,1e-17,39.0887622,2024-07-23 02:13:07,1
1e-12,1.12e-15,40.0809379,2024-07-23 02:13:48,1
1e-12,2.23e-15,37.3186519,2024-07-23 02:14:25,1
1e-12,3.34e-15,38.1007514,2024-07-23 02:15:03,1
1e-12,4.45e-15,38.3016952,2024-07-23 02:15:41,1
1e-12,5.56e-15,37.8361887,2024-07-23 02:16:19,1
1e-12,6.67e-15,38.2854632,2024-07-23 02:16:57,1
1e-12,7.78e-15,38.1777895,2024-07-23 02:17:36,1
1e-12,8.89e-15,38.3417239,2024-07-23 02:18:14,1
1e-12,1e-14,38.2670834,2024-07-23 02:18:52,1
1.12e-10,1e-17,28.9133146,2024-07-23 02:19:21,1
1.12e-10,1.12e-15,36.1876977,2024-07-23 02:19:57,1
1.12e-10,2.23e-15,38.6783634,2024-07-23 02:20:36,1
1.12e-10,3.34e-15,38.5609406,2024-07-23 02:21:15,1
1.12e-10,4.45e-15,38.4230783,2024-07-23 02:21:53,1
1.12e-10,5.56e-15,38.9169483,2024-07-23 02:22:32,1
1.12e-10,6.67e-15,38.9126906,2024-07-23 02:23:11,1
1.12e-10,7.78e-15,38.1919145,2024-07-23 02:23:49,1
1.12e-10,8.89e-15,38.6024655,2024-07-23 02:24:28,1
1.12e-10,1e-14,38.9414295,2024-07-23 02:25:07,1
2.23e-10,1e-17,28.9271456,2024-07-23 02:25:36,1
2.23e-10,1.12e-15,36.7451382,2024-07-23 02:26:12,1
2.23e-10,2.23e-15,39.1999994,2024-07-23 02:26:51,1
2.23e-10,3.34e-15,39.0200753,2024-07-23 02:27:31,1
2.23e-10,4.45e-15,38.1270263,2024-07-23 02:28:09,1
2.23e-10,5.56e-15,39.0583964,2024-07-23 02:28:48,1
2.23e-10,6.67e-15,40.2860232,2024-07-23 02:29:28,1
2.23e-10,7.78e-15,39.3867545,2024-07-23 02:30:07,1
2.23e-10,8.89e-15,38.9706747,2024-07-23 02:30:46,1
2.23e-10,1e-14,38.6889365,2024-07-23 02:31:25,1
3.34e-10,1e-17,30.1797068,2024-07-23 02:31:55,1
3.34e-10,1.12e-15,36.5415089,2024-07-23 02:32:32,1
3.34e-10,2.23e-15,39.1885266,2024-07-23 02:33:11,1
3.34e-10,3.34e-15,38.2247923,2024-07-23 02:33:49,1
3.34e-10,4.45e-15,38.9881304,2024-07-23 02:34:28,1
3.34e-10,5.56e-15,39.0242459,2024-07-23 02:35:07,1
3.34e-10,6.67e-15,39.5717218,2024-07-23 02:35:47,1
3.34e-10,7.78e-15,39.6413452,2024-07-23 02:36:26,1
3.34e-10,8.89e-15,39.076886,2024-07-23 02:37:05,1
3.34e-10,1e-14,38.8709712,2024-07-23 02:37:44,1
4.45e-10,1e-17,30.370135,2024-07-23 02:38:15,1
4.45e-10,1.12e-15,37.3389338,2024-07-23 02:38:52,1
4.45e-10,2.23e-15,39.4048516,2024-07-23 02:39:31,1
4.45e-10,3.34e-15,38.8316518,2024-07-23 02:40:10,1
4.45e-10,4.45e-15,39.5137258,2024-07-23 02:40:50,1
4.45e-10,5.56e-15,39.4553551,2024-07-23 02:41:29,1
4.45e-10,6.67e-15,39.5116858,2024-07-23 02:42:09,1
4.45e-10,7.78e-15,38.8688387,2024-07-23 02:42:48,1
4.45e-10,8.89e-15,39.1034056,2024-07-23 02:43:27,1
4.45e-10,1e-14,39.7881558,2024-07-23 02:44:07,1
5.56e-10,1e-17,31.3260599,2024-07-23 02:44:38,1
5.56e-10,1.12e-15,37.5094608,2024-07-23 02:45:15,1
5.56e-10,2.23e-15,39.1761764,2024-07-23 02:45:55,1
5.56e-10,3.34e-15,39.6702293,2024-07-23 02:46:34,1
5.56e-10,4.45e-15,39.3512785,2024-07-23 02:47:14,1
5.56e-10,5.56e-15,39.7054786,2024-07-23 02:47:53,1
5.56e-10,6.67e-15,40.2451761,2024-07-23 02:48:34,1
5.56e-10,7.78e-15,40.7900778,2024-07-23 02:49:14,1
5.56e-10,8.89e-15,39.5196036,2024-07-23 02:49:54,1
5.56e-10,1e-14,40.3808272,2024-07-23 02:50:34,1
6.67e-10,1e-17,30.1936874,2024-07-23 02:51:04,1
6.67e-10,1.12e-15,38.9180342,2024-07-23 02:51:43,1
6.67e-10,2.23e-15,39.3053272,2024-07-23 02:52:23,1
6.67e-10,3.34e-15,39.4318018,2024-07-23 02:53:02,1
